carrier_name,vehicle_segment,g/tm CO2,ef_kg_co2e_per_tkm
Armada,For-Hire,90.9,0.06226140960000001
"Armellini Express Lines, Inc.",For-Hire,95.575,0.0654635228
Armour Transport Inc: Armour Transportation Systems,For-Hire,91.155,0.06243607032
"Armstrong Transport Group, Inc.: Freight Broker",Private,90.9,0.06226140960000001
Army and Air Force Exchange Service: AYAF,Private,72.91,0.04993926704
Arnold Bros. Transport Ltd.: Dry & Reefer Division,For-Hire,60.42,0.04138431648
Arnold J Thomas & Sons Inc: Curtain Van,For-Hire,65.0,0.04452136
Arnold J Thomas & Sons Inc: Dry Van,For-Hire,78.929,0.054061944976000004
"Arnold Transportation Services, Inc.: Arnold",For-Hire,84.724,0.05803119545600001
Around The Clock Logistics Inc: 3PL,For-Hire,106.8155,0.073162635832
Arrive Logistics,For-Hire,113.511,0.077748678384
"Arrow Freight Management, Inc.",For-hire,78.929,0.054061944976000004
"Arrow Freight Systems, Inc.",For-Hire,102.4,0.07013826560000001
Arrow Lines Transport,For-Hire,90.9,0.06226140960000001
Arrow Straight Transport,For-Hire,611.0,0.418500784
Arrow Transportation Systems Inc.: AB Bulk: Athabasca,Private,57.6,0.0394527744
Arrow Transportation Systems Inc.: AB Bulk: Peace River,Private,57.6,0.0394527744
Arrow Transportation Systems Inc.: AB Reload Logistics,For-Hire,65.0,0.04452136
Arrow Transportation Systems Inc.: AB: Grande Prairie,Private,63.65,0.043596685600000004
Arrow Transportation Systems Inc.: BC Bulk: Fort St. James,For-Hire,81.0,0.05548046400000001
Arrow Transportation Systems Inc.: BC Bulk: Kamloops,Private,57.6,0.0394527744
Arrow Transportation Systems Inc.: BC Bulk: Prince George,Private,57.6,0.0394527744
Arrow Transportation Systems Inc.: BC Bulk: Quesnel,Private,72.05,0.0493502152
Arrow Transportation Systems Inc.: BC Reload Logistics,For-Hire,65.0,0.04452136
Arrow Transportation Systems Inc.: Mining: Ashcroft,Private,63.65,0.043596685600000004
Arrow Transportation Systems Inc.: Mining: Chilliwack,Private,63.65,0.043596685600000004
Arrow Transportation Systems Inc.: Mining: Stewart,Private,63.65,0.043596685600000004
Art Pape Transfer D/B/A Tucker Freight Lines: For-Hire Open Deck Operations,For-Hire,71.0,0.048631024
Art Pape Transfer D/B/A Tucker Freight Lines: For-Hire Van Operations,For-Hire,72.91,0.04993926704
"Artur Express, Inc. : 30930754",For-Hire,102.4,0.07013826560000001
Asap Cargo Inc.,Private,90.9,0.06226140960000001
Ascend Transportation,For-Hire,84.724,0.05803119545600001
"Ascent Global Logistics International, LLC.: AZGB",For-Hire,164.5,0.11267328800000001
Ascent Global Logistics LLC: Domestic Brokerage,For-Hire,110.12049999999999,0.075426375752
"Ashley Distribution Services,LTD.: ADS",Private,78.929,0.054061944976000004
Ashley Logistics Inc,Private,84.25,0.057706532000000005
